SOSTENIBILIDAD,SOFTWARE,SENCILLEZ,MODELADO COMPLEJO,MEP. MECÁNICA,MEP ELÉCTRICA,INTEROPERABILIDAD,INTERCAMBIO BIM,INFRAESTRUCTURAS,GEOTÉCNIA,FLEXIBILIDAD SOFTWARE,ESTRUCTURAS,EDITABILIDAD SOFTWARE,EDITABILIDAD BIM,COMUNIDAD,BIM EN OBRA,ARQUITECTURA,4D/5D
NO,4MSA FineHVAC + FineLIFT + FineELEC + FineSANI,5,5,SÍ,NO,5,NO,NO,NO,5,NO,5,5,5,NO,NO,NO
NO,4MSA Strad and Steel,5,5,NO,NO,5,NO,NO,NO,5,SÍ,5,5,5,NO,NO,NO
NO,AutoCAD civil 3D,4,2,NO,NO,2,NO,SÍ,SÍ,1,SÍ,2,2,4,NO,NO,NO
NO,Autodesk Navisworks,4,4,NO,NO,5,SÍ,NO,NO,3,NO,3,3,1,SÍ,NO,SÍ
NO,Autodesk Robot Structural Analysis,3,5,NO,NO,5,NO,NO,NO,5,SÍ,5,5,2,NO,NO,NO
NO,Bentley ConstrucSim,3,1,NO,NO,5,NO,NO,NO,3,NO,4,1,1,NO,NO,SÍ
NO,Bentley Hevacomp Mechanical designer,5,5,SÍ,NO,5,NO,NO,NO,5,NO,5,5,5,NO,NO,NO
NO,"Bentley RAM, STAAD and ProSteel",5,5,NO,NO,5,NO,NO,NO,5,SÍ,5,5,4,NO,NO,NO
NO,Bentley Structural Modeler,5,5,NO,NO,5,NO,NO,NO,5,SÍ,5,5,4,NO,NO,NO
NO,BIM 360 Field (Autodesk),3,1,NO,NO,4,NO,NO,NO,1,NO,4,1,1,SÍ,NO,NO
NO,CADMEP (CADduct / CADmech),5,5,SÍ,NO,5,NO,NO,NO,5,NO,5,5,5,NO,NO,SÍ
NO,CypeCAD,5,5,NO,NO,5,NO,NO,NO,5,SÍ,5,5,2,NO,NO,NO
NO,Glue (by Horizontal Systems),5,5,NO,NO,5,NO,NO,NO,5,NO,5,5,5,NO,NO,SÍ
NO,Graytec Advance design,5,5,NO,NO,5,NO,NO,NO,5,SÍ,5,5,5,NO,NO,NO
NO,Infraworks,4,2,NO,NO,3,NO,SÍ,NO,1,SÍ,4,2,1,NO,NO,NO
NO,InNOvaya,5,5,NO,NO,5,NO,NO,NO,5,NO,5,5,5,NO,NO,SÍ
NO,Keynetix,1,5,NO,NO,5,NO,NO,SÍ,5,NO,5,5,5,NO,NO,NO
NO,Nemetschek Scia,5,5,NO,NO,5,NO,NO,NO,5,SÍ,5,5,5,NO,NO,NO
NO,Primtech,5,5,NO,NO,5,NO,NO,NO,1,NO,3,5,5,NO,NO,SÍ
NO,RhiNOBIM (BETA),4,4,SÍ,NO,4,NO,NO,NO,3,SÍ,3,4,4,NO,SÍ,NO
NO,Solibri Model Checker,4,5,NO,NO,5,NO,NO,NO,5,NO,5,5,5,NO,NO,SÍ
NO,StructureSoft Metal Wood Framer,5,5,NO,NO,5,NO,NO,NO,5,SÍ,5,5,5,NO,NO,NO
NO,Synchro Professional,5,5,NO,NO,5,NO,NO,NO,5,NO,5,5,5,NO,NO,SÍ
NO,Tekla BIMSight,5,5,NO,NO,5,NO,NO,NO,5,NO,5,5,5,NO,NO,SÍ
NO,Tekla Structures,4,5,NO,NO,5,NO,NO,NO,5,SÍ,5,5,3,NO,NO,NO
NO,Vela Field BIM,5,5,NO,NO,5,NO,NO,NO,5,NO,5,5,5,NO,NO,SÍ
NO,Vico Office Suite,3,5,NO,NO,5,NO,NO,NO,5,NO,5,5,5,NO,NO,SÍ
SÍ,AECOsim Energy Simulator,5,5,NO,NO,5,NO,NO,NO,5,NO,5,5,1,NO,NO,NO
SÍ,Autodesk Ecotect Analysis,3,5,NO,NO,5,NO,NO,NO,5,NO,5,5,1,NO,NO,NO
SÍ,Autodesk Green Building Studio,2,5,NO,NO,3,NO,NO,NO,5,NO,5,5,1,NO,NO,NO
SÍ,Autodesk Revit,4,4,SÍ,SÍ,4,SÍ,NO,NO,4,SÍ,3,4,3,NO,SÍ,SÍ
SÍ,Bentley Architecture,2,3,SÍ,SÍ,2,SÍ,SÍ,NO,1,SÍ,1,3,4,NO,SÍ,NO
SÍ,Bentley Facilities,5,5,SÍ,SÍ,5,NO,NO,NO,5,NO,5,5,5,NO,NO,NO
SÍ,Bentley Hevacomp,5,5,SÍ,SÍ,5,NO,NO,NO,5,NO,5,5,1,NO,NO,NO
SÍ,DesignBuilder,5,5,SÍ,NO,5,NO,NO,NO,5,NO,5,5,1,NO,SÍ,NO
SÍ,EcoDomus,5,5,NO,NO,5,NO,NO,NO,5,NO,5,5,5,NO,NO,SÍ
SÍ,FM:Systems FM:Interact,5,5,NO,NO,5,NO,NO,NO,5,NO,5,5,5,NO,NO,NO
SÍ,Graphisoft ArchiCAD,3,3,NO,NO,2,NO,NO,NO,3,NO,2,3,3,NO,SÍ,NO
SÍ,Graphisoft Ecodesigner,5,5,NO,NO,5,NO,NO,NO,5,NO,5,5,1,NO,NO,NO
SÍ,IES Solutions Virtual Environment VE-Pro,5,5,NO,NO,5,NO,NO,NO,5,NO,5,5,1,NO,NO,NO
SÍ,Nemetschek Allplan,1,2,NO,NO,4,NO,NO,NO,2,SÍ,2,4,3,NO,SÍ,SÍ
SÍ,Nemetschek Vectorworks,2,2,NO,NO,4,SÍ,NO,NO,1,NO,2,2,2,NO,SÍ,NO
SÍ,Onuma System,5,5,NO,NO,5,SÍ,NO,NO,5,NO,5,5,5,SÍ,NO,SÍ
SÍ,Vintocon ArchiFM (For ArchiCAD),5,5,NO,NO,5,NO,NO,NO,5,NO,5,5,5,NO,NO,NO
