TIPO DE WARNING,RELEVANCIA EN EL MODELO,RELEVANCIA EN  EL DISEÑO,A QUÉ AFECTA EN EL MODELO,A QUÉ AFECTA EN EL DISEÑO
EL DESEMBARCO DE LA ESCALERA NO LLEGA O EXCEDE DEL NIVEL AL QUE HA SIDO ASIGNADA,5,90,NO SE VE AFECTADO EL RENDIMIENTO,LA ESCALERA PUEDE ESTAR MAL DISEÑADA
EL MURO Y UNA LÍNEA DE SEPARACIÓN DE HABITACIÓN SE SOLAPAN,70,5,"EL PROGRAMA INTENTA CALCULAR CONTINUAMENTE EL CIERRE DE LA HABITACIÓN, AFECTANDO AL RENDIMIENTO",NO SE APRECIA
EL PLANO DE REFERENCIA ESTÁ LIGERAMENTE FUERA DE EJE,80,5,EL RENDIMIENTO SE VE MUY AFECTADO Y TODOS LOS ELEMENTOS QUE DEPENDÍAN DEL PLANO DE REFERENCIA TIENEN ESTE MISMO ERROR,CASI INAPRECIABLE
EXISTE MÁS DE UNA HABITACIÓN EN LA MISMA REGIÓN,60,30,MAL RENDIMIENTO,SE CONTABILIZA UNA HABITACIÓN SIN ÁREA
EXISTEN INSTANCIAS IDÉNTICAS DE UN ELEMENTO QUE SE SOLAPAN,70,100,AFECTA AL RENDIMIENTO DEL MODELO,SE CONTABILIZA UN MISMO ELEMENTO COMPLETO DOS VECES
LA ANCHURA REAL DEL TRAMO DE LA ESCALERA ES MENOR QUE LA MÍNIMA ESPECIFICADA EN EL TIPO DE LA ESCALERA,5,90,NO SE VE AFECTADO EL RENDIMIENTO,LA ESCALERA PUEDE ESTAR MAL DISEÑADA
LA APERTURA RECTANGULAR NO CORTA SU HUESPED,40,0,"EL SOFTWARE INTENTA CONTINUEAMENTE CALCULAR LA RESTA DEL HUECO, SIN ÉXITO, AFECTANDO AL RENDIMIENTO DEL MODELO",NO SE APRECIA
LA LÍNEA DE BOCETO ESTÁ LIGERAMENTE FUERA DE EJE,40,5,EL RENDIMIENTO SE VE AFECTADO,CASI INAPRECIABLE
LA REJILLA ESTÁ LIGERAMENTE FUERA DE EJE,90,10,EL RENDIMIENTO SE VE MUY AFECTADO Y TODOS LOS ELEMENTOS QUE DEPENDÍAN DE LA REJILLA TIENEN ESTE MISMO ERROR,CASI INAPRECIABLE
LOS ELEMENTOS NO SE UNIERON AUTOMÁTICAMENTE PORQUE UNO DE ELLOS NO ES EDITABLE,10,80,UNIONES,UNA UNIÓN NO QUEDA COMO DEBERÍA
LOS ELEMENTOS SE SOLAPAN ENTRE SÍ,70,100,AFECTA AL RENDIMIENTO DEL MODELO,SE CONTABILIZAN CANTIDADES DOS VECES
LOS ELEMENTOS SEÑALADOS ESTÁN UNIDOS PERO NO INTERSECAN ENTRE SÍ,10,80,UNIONES,UNA UNIÓN NO QUEDA COMO DEBERÍA
LOS MUROS ESTÁN UNIDOS CON UN ELEMENTO PERO SEPARADOS DEL MISMO,10,80,UNIONES,UNA UNIÓN NO QUEDA COMO DEBERÍA
